source,pageviews,visitors,visit_duration,visits,bounce_rate
Direct / None,20620,4070,250,5378,36
openwashdata.org,1268,393,195,425,49
LinkedIn,549,202,184,216,49
GitHub,493,100,317,104,39
Google,286,116,78,121,54
Gmail,179,57,319,58,47
find-it.pro,118,19,423,21,5
ghe.ethz.ch,30,9,189,9,44
statics.teams.cdn.office.net,29,6,187,6,33
628432b2548a43468fb597bf5e15b2da.app.posit.cloud,23,1,3904,1,0
Twitter,20,8,117,8,50
myesaya.github.io,18,1,1115,1,0
Yandex,13,13,0,13,100
deploy-preview-65--luminous-treacle-bd685b.netlify.app,9,4,1,4,0
Bing,6,3,5,3,67
Facebook,6,5,6,5,80
deploy-preview-69--luminous-treacle-bd685b.netlify.app,6,2,105,3,67
teams.microsoft.com,5,1,1755,1,0
cms-author.ethz.ch,3,2,17,2,50
bd72cbd6759548aea4c62bc704cc633a.app.posit.cloud,2,1,265,1,0
openwashdata,2,1,4,1,0
rbtl-fs24.github.io,2,1,0,1,0
washweb.org,2,2,0,2,100
b3fa8b3eadf14e58b2d71b80161e505a.app.posit.cloud,1,1,0,1,100
deploy-preview-53--luminous-treacle-bd685b.netlify.app,1,1,0,1,100
learn2023.ukzn.ac.za,1,1,0,1,100
openwashdata.github.io,1,1,0,1,100
